1,0
68,155
26,104
52,134
32,111
126,260
76,163
72,159
20,97
41,122
94,193
96,198
137,285
165,412
67,153
103,211
100,207
116,240
168,455
33,112
155,336
50,132
38,118
83,174
45,126
114,236
78,166
54,136
147,309
25,103
159,366
24,101
122,251
134,276
75,161
64,149
92,188
36,116
53,135
117,244
77,164
7,81
150,315
58,140
19,95
14,89
15,90
27,105
23,100
136,282
102,209
120,249
16,91
21,98
61,145
65,150
80,169
135,280
22,99
5,78
128,264
34,113
37,117
152,325
40,121
56,138
4,77
71,158
31,109
49,131
162,391
13,88
47,129
95,196
176,617
42,123
79,167
93,190
119,248
8,82
164,402
157,360
163,392
90,185
166,419
131,270
63,148
170,466
84,175
62,147
107,220
51,133
89,182
140,290
44,125
43,124
109,224
59,141
39,119
57,139
35,115
169,458
82,172
69,156
174,547
171,470
144,304
108,221
30,108
87,179
161,378
85,176
3,76
149,314
12,87
97,203
88,180
111,230
55,137
66,152
172,485
141,300
132,272
60,144
18,94
101,208
133,275
9,83
106,218
153,327
151,322
99,205
110,227
115,239
11,85
74,160
158,364
167,449
2,75
29,107
17,92
91,187
156,355
28,106
175,587
105,214
146,307
127,263
148,310
46,127
123,252
81,170
129,265
86,177
145,305
160,372
6,79
142,301
113,232
139,289
104,212
121,250
10,84
48,130
143,303
124,256
125,259
98,204
173,524
70,157
112,231
138,287
118,247
154,333
